id,name,tel,mobile,email,type,is_own_reg,reg_dt,reg_channel_id,state,cdt,udt,last_login_dt,remark
1, 高利娟,, 18*******99,,1,,2013/9/10 18:54,,1,2013/9/10 18:54,2013/9/10 18:54,2013/9/10 18:54,
2, 欧阳,, 15*******70,,2,,2012/1/18 22:31,,1,2012/1/18 22:31,2012/1/18 22:31,2012/1/18 22:31,
3, 郭莹,, 15*******22,,1,,2013/2/21 7:31,,1,2013/2/21 7:31,2013/2/21 7:31,2013/2/21 7:31,
4, 老弦赵,, 15*******71,,1,,2016/4/8 23:16,,1,2016/4/8 23:16,2016/4/8 23:16,2016/4/8 23:16,
5, 张万棉,, 15*******32,,1,,2010/9/28 1:07,,1,2010/9/28 1:07,2010/9/28 1:07,2010/9/28 1:07,
6, 高影,, 15*******15,,2,,2018/12/29 4:16,,1,2018/12/29 4:16,2018/12/29 4:16,2018/12/29 4:16,
7, 张钰,, 18*******12,,1,,2018/1/31 13:22,,1,2018/1/31 13:22,2018/1/31 13:22,2018/1/31 13:22,
8, 王霞,, 15*******85,,1,,2017/8/19 13:06,,1,2017/8/19 13:06,2017/8/19 13:06,2017/8/19 13:06,
9, 陈芳,, 13*******59,,2,,2015/11/17 22:35,,1,2015/11/17 22:35,2015/11/17 22:35,2015/11/17 22:35,
10, 胡东方,, 13*******40,,1,,2013/12/16 12:49,,1,2013/12/16 12:49,2013/12/16 12:49,2013/12/16 12:49,
11, 秦佳峰,, 13*******56,,1,,2012/6/1 13:56,,1,2012/6/1 13:56,2012/6/1 13:56,2012/6/1 13:56,
12, 张英,, 18*******77,,1,,2013/11/5 1:11,,1,2013/11/5 1:11,2013/11/5 1:11,2013/11/5 1:11,
13, 彭远远,, 13*******69,,1,,2018/1/30 11:15,,1,2018/1/30 11:15,2018/1/30 11:15,2018/1/30 11:15,
14, 杨蓉,, 18*******53,,1,,2018/7/15 23:06,,1,2018/7/15 23:06,2018/7/15 23:06,2018/7/15 23:06,
15, 李静,, 15*******03,,1,,2015/6/8 13:28,,1,2015/6/8 13:28,2015/6/8 13:28,2015/6/8 13:28,
16, 侯树芝,, 15*******99,,1,,2016/8/2 9:56,,1,2016/8/2 9:56,2016/8/2 9:56,2016/8/2 9:56,
17, 刘海,, 15*******80,,1,,2015/4/23 15:10,,1,2015/4/23 15:10,2015/4/23 15:10,2015/4/23 15:10,
18, 李颖第,, 13*******36,,1,,2013/3/2 13:46,,1,2013/3/2 13:46,2013/3/2 13:46,2013/3/2 13:46,
19, 魏利,, 13*******90,,1,,2015/5/26 2:47,,1,2015/5/26 2:47,2015/5/26 2:47,2015/5/26 2:47,
20, 李玉根,, 13*******62,,1,,2011/8/28 16:30,,1,2011/8/28 16:30,2011/8/28 16:30,2011/8/28 16:30,
21, 刘申满,, 18*******72,,1,,2011/6/7 22:49,,1,2011/6/7 22:49,2011/6/7 22:49,2011/6/7 22:49,
22, 周长志,, 13*******46,,1,,2011/5/13 0:56,,1,2011/5/13 0:56,2011/5/13 0:56,2011/5/13 0:56,
23, 齐英,, 18*******29,,1,,2017/2/3 1:26,,1,2017/2/3 1:26,2017/2/3 1:26,2017/2/3 1:26,
24, 曹传秀,, 18*******22,,1,,2012/4/13 0:14,,1,2012/4/13 0:14,2012/4/13 0:14,2012/4/13 0:14,
25, 蔓蔓,, 13*******81,,1,,2014/6/26 20:32,,1,2014/6/26 20:32,2014/6/26 20:32,2014/6/26 20:32,
26, 蔓蔓,, 13*******81,,1,,2012/7/29 20:27,,1,2012/7/29 20:27,2012/7/29 20:27,2012/7/29 20:27,
27, 郑小莉,, 18*******45,,1,,2014/8/25 20:50,,1,2014/8/25 20:50,2014/8/25 20:50,2014/8/25 20:50,
28, 马琴,, 13*******63,,1,,2017/2/15 3:48,,1,2017/2/15 3:48,2017/2/15 3:48,2017/2/15 3:48,
29, 关婷华,, 15*******09,,1,,2012/8/12 0:59,,1,2012/8/12 0:59,2012/8/12 0:59,2012/8/12 0:59,
30, 吴昌林,, 15*******09,,1,,2019/2/28 20:14,,1,2019/2/28 20:14,2019/2/28 20:14,2019/2/28 20:14,
31, 施国萍,, 13*******30,,1,,2018/11/22 6:21,,1,2018/11/22 6:21,2018/11/22 6:21,2018/11/22 6:21,
32, 袁慧芳,, 13*******07,,1,,2013/11/26 14:17,,1,2013/11/26 14:17,2013/11/26 14:17,2013/11/26 14:17,
33, 许峰,, 13*******41,,1,,2016/11/23 4:42,,1,2016/11/23 4:42,2016/11/23 4:42,2016/11/23 4:42,
34, 巫信,, 17*******48,,1,,2017/8/22 7:49,,1,2017/8/22 7:49,2017/8/22 7:49,2017/8/22 7:49,
35, 姚艳平,, 13*******68,,1,,2016/11/5 21:55,,1,2016/11/5 21:55,2016/11/5 21:55,2016/11/5 21:55,
36, 麻爱萍,, 13*******17,,1,,2012/5/17 17:15,,1,2012/5/17 17:15,2012/5/17 17:15,2012/5/17 17:15,
37, 永远的我,, 13*******21,,1,,2019/1/27 12:33,,1,2019/1/27 12:33,2019/1/27 12:33,2019/1/27 12:33,
38, 黄文丽,, 18*******78,,1,,2015/10/29 22:27,,1,2015/10/29 22:27,2015/10/29 22:27,2015/10/29 22:27,
39, 孙蕊,, 19*******93,,1,,2016/7/6 14:27,,1,2016/7/6 14:27,2016/7/6 14:27,2016/7/6 14:27,
40, 邹娣,, 18*******28,,1,,2010/8/8 5:39,,1,2010/8/8 5:39,2010/8/8 5:39,2010/8/8 5:39,
41, 何国娟,, 13*******06,,1,,2013/4/21 2:14,,1,2013/4/21 2:14,2013/4/21 2:14,2013/4/21 2:14,
42, 丁雪,, 13*******96,,1,,2018/4/14 23:47,,1,2018/4/14 23:47,2018/4/14 23:47,2018/4/14 23:47,
43, 田芙蓉,, 18*******90,,1,,2014/5/14 8:22,,1,2014/5/14 8:22,2014/5/14 8:22,2014/5/14 8:22,
44, 王振,, 18*******50,,1,,2015/10/26 18:42,,1,2015/10/26 18:42,2015/10/26 18:42,2015/10/26 18:42,
45, 莫建红,, 18*******62,,1,,2016/11/3 5:06,,1,2016/11/3 5:06,2016/11/3 5:06,2016/11/3 5:06,
46, 聂素梅,, 13*******90,,1,,2014/3/28 9:44,,1,2014/3/28 9:44,2014/3/28 9:44,2014/3/28 9:44,
47, 刘寒,, 15*******31,,1,,2013/11/15 13:07,,1,2013/11/15 13:07,2013/11/15 13:07,2013/11/15 13:07,
48, 张利彩,, 18*******46,,1,,2012/11/14 19:39,,1,2012/11/14 19:39,2012/11/14 19:39,2012/11/14 19:39,
49, 陈江凤,, 18*******68,,1,,2011/7/1 21:14,,1,2011/7/1 21:14,2011/7/1 21:14,2011/7/1 21:14,
50, 杨晓风,, 13*******72,,1,,2013/9/16 8:54,,1,2013/9/16 8:54,2013/9/16 8:54,2013/9/16 8:54,
51, 曹丽丽,, 18*******65,,1,,2019/11/24 10:59,,1,2019/11/24 10:59,2019/11/24 10:59,2019/11/24 10:59,
52, 丁方霞,, 15*******85,,1,,2017/5/28 8:00,,1,2017/5/28 8:00,2017/5/28 8:00,2017/5/28 8:00,
53, 付芳萍,, 15*******09,,1,,2013/11/7 19:49,,1,2013/11/7 19:49,2013/11/7 19:49,2013/11/7 19:49,
54, 余涛,, 15*******15,,1,,2018/1/3 2:21,,1,2018/1/3 2:21,2018/1/3 2:21,2018/1/3 2:21,
55, 张倩,, 18*******19,,1,,2014/10/14 18:14,,1,2014/10/14 18:14,2014/10/14 18:14,2014/10/14 18:14,
56, 宋静,, 13*******12,,1,,2014/1/2 13:58,,1,2014/1/2 13:58,2014/1/2 13:58,2014/1/2 13:58,
57, 杨玉玲,, 13*******47,,1,,2011/5/12 17:10,,1,2011/5/12 17:10,2011/5/12 17:10,2011/5/12 17:10,
58, 呼素芳,, 15*******12,,1,,2018/6/28 7:18,,1,2018/6/28 7:18,2018/6/28 7:18,2018/6/28 7:18,
59, 王金霞,, 18*******90,,1,,2016/3/26 22:56,,1,2016/3/26 22:56,2016/3/26 22:56,2016/3/26 22:56,
60, 肖泽秀,, 18*******31,,1,,2013/10/21 8:25,,1,2013/10/21 8:25,2013/10/21 8:25,2013/10/21 8:25,
61, 周生晴,, 18*******96,,1,,2014/2/24 4:02,,1,2014/2/24 4:02,2014/2/24 4:02,2014/2/24 4:02,
62, 刘鑫鑫,, 15*******72,,1,,2017/6/10 1:18,,1,2017/6/10 1:18,2017/6/10 1:18,2017/6/10 1:18,
63, 杨彩玲,, 15*******87,,1,,2014/9/5 12:23,,1,2014/9/5 12:23,2014/9/5 12:23,2014/9/5 12:23,
64, 黎桂花,, 18*******26,,1,,2015/6/20 0:57,,1,2015/6/20 0:57,2015/6/20 0:57,2015/6/20 0:57,
65, 周明荣,, 18*******97,,1,,2014/2/25 22:30,,1,2014/2/25 22:30,2014/2/25 22:30,2014/2/25 22:30,
66, 李杏倩,, 13*******44,,1,,2013/2/12 14:44,,1,2013/2/12 14:44,2013/2/12 14:44,2013/2/12 14:44,
67, 王慧茹,, 15*******22,,1,,2010/8/14 18:53,,1,2010/8/14 18:53,2010/8/14 18:53,2010/8/14 18:53,
68, 杨建刚,, 18*******28,,1,,2015/10/14 16:53,,1,2015/10/14 16:53,2015/10/14 16:53,2015/10/14 16:53,
69, 谢雪梨,, 13*******57,,1,,2019/5/7 14:27,,1,2019/5/7 14:27,2019/5/7 14:27,2019/5/7 14:27,
70, 李芬,, 15*******89,,1,,2010/11/28 21:36,,1,2010/11/28 21:36,2010/11/28 21:36,2010/11/28 21:36,
71, 张静利,, 16*******32,,1,,2011/2/8 23:11,,1,2011/2/8 23:11,2011/2/8 23:11,2011/2/8 23:11,
72, 罗尚英,, 18*******07,,1,,2013/9/2 19:21,,1,2013/9/2 19:21,2013/9/2 19:21,2013/9/2 19:21,
73, 余爱林,, 13*******51,,1,,2019/6/9 6:02,,1,2019/6/9 6:02,2019/6/9 6:02,2019/6/9 6:02,
74, 刘云霞,, 18*******70,,1,,2017/3/20 23:51,,1,2017/3/20 23:51,2017/3/20 23:51,2017/3/20 23:51,
75, 李海娟,, 13*******60,,1,,2015/2/10 15:45,,1,2015/2/10 15:45,2015/2/10 15:45,2015/2/10 15:45,
76, 李佳欢,, 15*******43,,1,,2011/9/24 13:19,,1,2011/9/24 13:19,2011/9/24 13:19,2011/9/24 13:19,
77, 李恩慧,, 18*******00,,1,,2010/7/19 2:19,,1,2010/7/19 2:19,2010/7/19 2:19,2010/7/19 2:19,
78, 罗月丽,, 13*******67,,1,,2014/4/29 10:24,,1,2014/4/29 10:24,2014/4/29 10:24,2014/4/29 10:24,
79, 谷金纪,, 18*******67,,1,,2019/11/26 6:23,,1,2019/11/26 6:23,2019/11/26 6:23,2019/11/26 6:23,
80, 周辉,, 15*******09,,1,,2013/10/16 18:53,,1,2013/10/16 18:53,2013/10/16 18:53,2013/10/16 18:53,
81, 杜学勤,, 17*******72,,1,,2017/10/8 2:15,,1,2017/10/8 2:15,2017/10/8 2:15,2017/10/8 2:15,
82, 王宵,, 18*******05,,1,,2017/3/28 12:45,,1,2017/3/28 12:45,2017/3/28 12:45,2017/3/28 12:45,
83, 谢丽凤,, 13*******62,,1,,2015/7/26 23:06,,1,2015/7/26 23:06,2015/7/26 23:06,2015/7/26 23:06,
84, 高攀,, 15*******08,,1,,2012/11/25 1:16,,1,2012/11/25 1:16,2012/11/25 1:16,2012/11/25 1:16,
85, 赵少伟,, 15*******54,,1,,2013/3/27 22:11,,1,2013/3/27 22:11,2013/3/27 22:11,2013/3/27 22:11,
86, 汪秀兰,, 18*******15,,1,,2012/1/29 17:19,,1,2012/1/29 17:19,2012/1/29 17:19,2012/1/29 17:19,
87, 丽丽,, 13*******96,,1,,2019/5/18 17:38,,1,2019/5/18 17:38,2019/5/18 17:38,2019/5/18 17:38,
88, 周平艳,, 13*******18,,1,,2011/8/9 8:04,,1,2011/8/9 8:04,2011/8/9 8:04,2011/8/9 8:04,
89, 刘勇,, 13*******08,,1,,2014/4/10 10:36,,1,2014/4/10 10:36,2014/4/10 10:36,2014/4/10 10:36,
90, 许文珍,, 13*******37,,1,,2010/6/29 23:06,,1,2010/6/29 23:06,2010/6/29 23:06,2010/6/29 23:06,
91, 徐美华,, 13*******56,,1,,2011/10/4 16:59,,1,2011/10/4 16:59,2011/10/4 16:59,2011/10/4 16:59,
92, 宋翠红,, 13*******00,,1,,2016/1/19 11:05,,1,2016/1/19 11:05,2016/1/19 11:05,2016/1/19 11:05,
93, 钟兰,, 15*******26,,1,,2010/5/9 17:33,,1,2010/5/9 17:33,2010/5/9 17:33,2010/5/9 17:33,
94, 董然霞,, 13*******68,,1,,2010/6/26 0:50,,1,2010/6/26 0:50,2010/6/26 0:50,2010/6/26 0:50,
95, 杨秋菊,, 18*******78,,1,,2010/7/18 22:36,,1,2010/7/18 22:36,2010/7/18 22:36,2010/7/18 22:36,
96, 汪乾香,, 15*******46,,1,,2014/12/27 16:24,,1,2014/12/27 16:24,2014/12/27 16:24,2014/12/27 16:24,
97, 程相旭,, 15*******39,,1,,2017/1/29 19:13,,1,2017/1/29 19:13,2017/1/29 19:13,2017/1/29 19:13,
98, 邓秋娟,, 18*******60,,1,,2014/5/22 15:44,,1,2014/5/22 15:44,2014/5/22 15:44,2014/5/22 15:44,
99, 周海莲,, 13*******59,,1,,2019/6/12 15:30,,1,2019/6/12 15:30,2019/6/12 15:30,2019/6/12 15:30,
100, 凡晓,, 15*******12,,1,,2018/9/27 5:54,,1,2018/9/27 5:54,2018/9/27 5:54,2018/9/27 5:54,
101, 杨新,, 13*******06,,1,,2011/10/17 21:56,,1,2011/10/17 21:56,2011/10/17 21:56,2011/10/17 21:56,
102, 程珂珂,, 18*******66,,1,,2017/4/12 10:12,,1,2017/4/12 10:12,2017/4/12 10:12,2017/4/12 10:12,
103, 高改改,, 15*******72,,1,,2013/12/26 7:52,,1,2013/12/26 7:52,2013/12/26 7:52,2013/12/26 7:52,
104, 林香云,, 18*******53,,1,,2019/1/25 11:22,,1,2019/1/25 11:22,2019/1/25 11:22,2019/1/25 11:22,
105, 赵常德,, 13*******99,,1,,2015/6/22 11:22,,1,2015/6/22 11:22,2015/6/22 11:22,2015/6/22 11:22,
106, 张艳,, 18*******60,,1,,2014/1/11 3:31,,1,2014/1/11 3:31,2014/1/11 3:31,2014/1/11 3:31,
107, 张丹,, 13*******51,,1,,2019/11/26 23:13,,1,2019/11/26 23:13,2019/11/26 23:13,2019/11/26 23:13,
108, 李亮,, 15*******00,,1,,2012/7/14 19:10,,1,2012/7/14 19:10,2012/7/14 19:10,2012/7/14 19:10,
109, 程程,, 15*******16,,1,,2018/5/25 18:13,,1,2018/5/25 18:13,2018/5/25 18:13,2018/5/25 18:13,
110, 我的难出你能理解,, 15*******08,,1,,2015/10/4 14:25,,1,2015/10/4 14:25,2015/10/4 14:25,2015/10/4 14:25,
